No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,0.0,1.0,0.0,1.0,9.694919000000002
1,0.0,2.0,0.0,2.0,9.696427
2,0.0,2.0,0.0,2.0,9.697913
3,0.0,2.0,0.0,2.0,9.699459000000001
4,0.0,2.0,0.0,2.0,9.700952000000001
5,0.0,2.0,0.0,2.0,9.702481000000002
6,0.0,2.0,0.0,2.0,9.704001000000002
7,0.0,2.0,0.0,2.0,9.705494000000002
8,0.0,2.0,0.0,2.0,9.707023
9,0.0,2.0,0.0,2.0,9.708547
10,1.0,2.0,1.0,3.0,9.710045000000001
11,0.0,2.0,0.0,2.0,9.711602
12,0.0,1.0,0.0,1.0,9.713087000000002
13,0.0,1.0,0.0,1.0,9.714603
14,0.0,2.0,0.0,2.0,9.716114000000001
15,0.0,2.0,0.0,2.0,9.717593
16,0.0,2.0,0.0,2.0,9.719128000000001
17,1.0,2.0,1.0,3.0,9.720625000000002
18,0.0,2.0,0.0,2.0,9.722136000000003
19,0.0,1.0,0.0,1.0,9.723659000000001
20,0.0,2.0,1.0,2.0,9.725133
21,0.0,2.0,0.0,2.0,9.726647
22,0.0,2.0,0.0,2.0,9.728174
23,0.0,2.0,0.0,2.0,9.729694000000002
24,0.0,2.0,0.0,2.0,9.731235999999999
25,1.0,1.0,1.0,1.0,9.732727
26,0.0,1.0,0.0,1.0,9.734232000000002
27,0.0,1.0,0.0,1.0,9.735752000000002
28,0.0,2.0,0.0,2.0,9.737228000000002
29,0.0,2.0,0.0,2.0,9.738742000000002
30,0.0,1.0,0.0,1.0,9.740255000000001
31,0.0,2.0,1.0,2.0,9.74174
32,0.0,2.0,1.0,2.0,9.743269000000002
33,0.0,2.0,0.0,2.0,9.744788
34,0.0,1.0,0.0,1.0,9.746312
35,0.0,1.0,0.0,1.0,9.747829
36,0.0,2.0,0.0,2.0,9.749335000000002
37,0.0,2.0,0.0,2.0,9.750884
38,0.0,1.0,0.0,1.0,9.752396000000001
39,1.0,2.0,1.0,3.0,9.753876000000002
40,0.0,2.0,0.0,2.0,9.755422
41,0.0,2.0,0.0,2.0,9.756906
42,0.0,2.0,0.0,2.0,9.758420000000001
43,0.0,1.0,0.0,1.0,9.759938000000002
44,1.0,1.0,1.0,2.0,9.761438000000002
45,0.0,2.0,0.0,2.0,9.762963
46,0.0,2.0,0.0,2.0,9.764467
47,0.0,2.0,0.0,2.0,9.765946
48,0.0,1.0,0.0,1.0,9.767492
49,0.0,2.0,0.0,2.0,9.768971
50,0.0,2.0,0.0,2.0,9.770518
51,0.0,2.0,0.0,2.0,9.772019
52,0.0,1.0,0.0,1.0,9.773528000000002
53,2.0,2.0,2.0,4.0,9.775061
54,0.0,1.0,0.0,1.0,9.776561000000001
55,0.0,2.0,0.0,2.0,9.778041000000002
56,0.0,1.0,0.0,1.0,9.779530000000001
57,0.0,2.0,0.0,2.0,9.781018
58,0.0,2.0,1.0,2.0,9.782537000000001
59,1.0,2.0,1.0,3.0,9.784051000000002
60,0.0,2.0,1.0,2.0,9.785530000000001
61,0.0,2.0,0.0,2.0,9.787063
62,0.0,2.0,0.0,2.0,9.788551000000002
63,0.0,2.0,0.0,2.0,9.790061000000001
64,0.0,2.0,0.0,2.0,9.791588
65,0.0,2.0,0.0,2.0,9.793066
66,0.0,2.0,0.0,2.0,9.794564000000001
67,0.0,1.0,1.0,1.0,9.796232
68,0.0,1.0,0.0,1.0,9.797724000000002
69,1.0,2.0,1.0,3.0,9.799225
70,0.0,2.0,0.0,2.0,9.800716000000001
71,0.0,1.0,0.0,1.0,9.802215
72,0.0,2.0,0.0,2.0,9.803692000000002
73,1.0,2.0,1.0,3.0,9.805176
74,0.0,1.0,0.0,1.0,9.806701
75,0.0,2.0,0.0,2.0,9.808208
76,0.0,2.0,0.0,2.0,9.809708
77,0.0,2.0,1.0,2.0,9.811227000000002
78,0.0,2.0,0.0,2.0,9.812714
79,0.0,1.0,0.0,1.0,9.814205000000001
80,0.0,1.0,0.0,1.0,9.81568
81,0.0,2.0,0.0,2.0,9.817160000000001
82,0.0,1.0,1.0,1.0,9.818644000000003
83,0.0,2.0,1.0,2.0,9.82012
84,0.0,2.0,0.0,2.0,9.82161
85,0.0,1.0,0.0,1.0,9.823145
86,0.0,1.0,0.0,1.0,9.824647000000002
87,0.0,2.0,0.0,2.0,9.826150000000002
88,0.0,1.0,0.0,1.0,9.827664000000002
89,0.0,1.0,0.0,1.0,9.829167000000002
90,0.0,2.0,0.0,2.0,9.830699
91,0.0,1.0,1.0,1.0,9.832207
92,1.0,2.0,1.0,2.0,9.833691000000002
93,0.0,2.0,0.0,2.0,9.835213
94,0.0,2.0,0.0,2.0,9.836712000000002
95,0.0,1.0,0.0,1.0,9.838199
96,0.0,2.0,0.0,2.0,9.839678
97,0.0,2.0,0.0,2.0,9.841154
98,0.0,2.0,0.0,2.0,9.842646000000002
99,0.0,2.0,0.0,2.0,9.844129000000002
100,0.0,2.0,0.0,2.0,9.845607000000001
101,0.0,2.0,0.0,2.0,9.847094000000002
102,0.0,1.0,0.0,1.0,9.848581
103,0.0,1.0,0.0,1.0,9.850064
104,0.0,2.0,1.0,2.0,9.851616
105,1.0,2.0,1.0,3.0,9.853096
106,0.0,1.0,0.0,1.0,9.854585
107,0.0,2.0,0.0,2.0,9.856068
108,0.0,2.0,0.0,2.0,9.85754
109,0.0,1.0,0.0,1.0,9.859058000000001
110,0.0,2.0,0.0,2.0,9.860587000000002
111,0.0,2.0,0.0,2.0,9.862111000000002
112,0.0,1.0,0.0,1.0,9.863595
113,0.0,1.0,1.0,1.0,9.865071
114,0.0,2.0,0.0,2.0,9.866588
115,0.0,2.0,0.0,2.0,9.868076000000002
116,0.0,2.0,0.0,2.0,9.869557
117,0.0,2.0,0.0,2.0,9.871089000000001
118,0.0,2.0,0.0,2.0,9.872608
119,0.0,2.0,0.0,2.0,9.874116
120,0.0,1.0,0.0,1.0,9.875666000000002
121,0.0,2.0,0.0,2.0,9.877205
122,0.0,2.0,0.0,2.0,9.878704000000003
123,0.0,2.0,0.0,2.0,9.880183000000002
124,0.0,2.0,0.0,2.0,9.881661000000001
125,0.0,1.0,0.0,1.0,9.883157
126,0.0,1.0,0.0,1.0,9.884639
127,0.0,2.0,0.0,2.0,9.886121
128,0.0,2.0,1.0,2.0,9.887609000000001
129,0.0,2.0,0.0,2.0,9.889084
130,0.0,2.0,0.0,2.0,9.890599000000002
131,1.0,2.0,1.0,3.0,9.892117000000002
132,1.0,1.0,1.0,1.0,9.893602000000001
133,0.0,2.0,0.0,2.0,9.895128
134,0.0,2.0,0.0,2.0,9.896786000000002
135,0.0,1.0,0.0,1.0,9.898279000000002
136,0.0,1.0,0.0,1.0,9.89976
137,0.0,1.0,0.0,1.0,9.901236
138,0.0,2.0,0.0,2.0,9.902731
139,0.0,1.0,0.0,1.0,9.904212000000001
140,0.0,1.0,0.0,1.0,9.905693
141,0.0,2.0,0.0,2.0,9.907214
142,0.0,1.0,0.0,1.0,9.908718
143,0.0,2.0,0.0,2.0,9.91021
144,0.0,1.0,0.0,1.0,9.911688000000002
145,0.0,2.0,0.0,2.0,9.913223000000002
146,0.0,2.0,0.0,2.0,9.914722000000001
147,0.0,2.0,0.0,2.0,9.916203
148,0.0,1.0,0.0,1.0,9.917681000000002
149,0.0,2.0,0.0,2.0,9.919173
150,0.0,2.0,0.0,2.0,9.920649000000001
151,0.0,2.0,0.0,2.0,9.922149000000001
152,0.0,2.0,1.0,2.0,9.923625000000001
153,0.0,2.0,0.0,2.0,9.925108999999999
154,0.0,2.0,0.0,2.0,9.926626000000002
155,0.0,2.0,0.0,2.0,9.928136000000002
156,0.0,2.0,0.0,2.0,9.929612000000002
157,0.0,1.0,0.0,1.0,9.931127
158,0.0,2.0,0.0,2.0,9.932649000000001
159,0.0,1.0,0.0,1.0,9.934139000000002
160,1.0,1.0,1.0,2.0,9.935658
161,0.0,1.0,0.0,1.0,9.937131
162,0.0,2.0,0.0,2.0,9.938623
163,1.0,2.0,1.0,3.0,9.940108000000002
164,0.0,2.0,0.0,2.0,9.941585
165,0.0,2.0,2.0,2.0,9.943082
166,0.0,1.0,0.0,1.0,9.944566000000002
167,0.0,1.0,0.0,1.0,9.946045000000002
168,0.0,1.0,0.0,1.0,9.947539000000003
169,0.0,2.0,0.0,2.0,9.94902
170,0.0,2.0,0.0,2.0,9.950509
171,0.0,2.0,0.0,2.0,9.952027000000001
172,0.0,1.0,0.0,1.0,9.953523
173,0.0,2.0,0.0,2.0,9.955011000000002
174,0.0,1.0,1.0,1.0,9.956493000000002
175,0.0,2.0,0.0,2.0,9.957974
176,1.0,1.0,1.0,2.0,9.959464
177,0.0,1.0,0.0,1.0,9.960947
178,0.0,2.0,0.0,2.0,9.962444000000001
179,1.0,1.0,1.0,2.0,9.963928
180,0.0,1.0,0.0,1.0,9.965408
181,0.0,1.0,0.0,1.0,9.966938000000003
182,0.0,2.0,0.0,2.0,9.968423000000001
183,0.0,2.0,0.0,2.0,9.969904
184,0.0,2.0,0.0,2.0,9.971382000000002
185,0.0,1.0,0.0,1.0,9.972930000000002
186,0.0,2.0,0.0,2.0,9.974426000000001
187,0.0,2.0,0.0,2.0,9.975950000000001
188,0.0,2.0,0.0,2.0,9.977428
189,0.0,2.0,1.0,2.0,9.978911
190,0.0,2.0,0.0,2.0,9.980389000000002
191,0.0,1.0,1.0,1.0,9.981868000000002
192,0.0,2.0,0.0,2.0,9.983363
193,0.0,2.0,0.0,2.0,9.984838
194,0.0,1.0,1.0,1.0,9.986329000000001
195,0.0,2.0,0.0,2.0,9.987805999999999
196,0.0,2.0,0.0,2.0,9.989285000000002
197,0.0,1.0,1.0,1.0,9.990772
198,0.0,2.0,0.0,2.0,9.992298000000002
199,0.0,2.0,0.0,2.0,9.993799
200,0.0,2.0,0.0,2.0,9.995286
201,0.0,1.0,0.0,1.0,9.996972
202,0.0,2.0,0.0,2.0,9.998473
203,0.0,1.0,0.0,1.0,9.999949
204,0.0,2.0,0.0,2.0,10.001427
205,0.0,1.0,0.0,1.0,10.002921
206,0.0,2.0,0.0,2.0,10.004402000000002
207,0.0,2.0,0.0,2.0,10.005878
208,0.0,1.0,0.0,1.0,10.007363000000002
209,0.0,1.0,0.0,1.0,10.008838
210,0.0,2.0,1.0,2.0,10.010327
211,0.0,2.0,1.0,2.0,10.011798000000002
212,0.0,2.0,0.0,2.0,10.013315000000002
213,0.0,2.0,0.0,2.0,10.014856000000002
214,0.0,2.0,0.0,2.0,10.016337
215,0.0,2.0,1.0,2.0,10.017814000000001
216,0.0,1.0,1.0,1.0,10.019299
217,1.0,2.0,1.0,2.0,10.020782
218,0.0,2.0,0.0,2.0,10.022266000000002
219,0.0,2.0,0.0,2.0,10.02375
220,0.0,2.0,0.0,2.0,10.02523
221,0.0,2.0,0.0,2.0,10.026748000000001
222,2.0,2.0,2.0,4.0,10.028235000000002
223,0.0,2.0,0.0,2.0,10.029720000000001
224,0.0,2.0,0.0,2.0,10.031205
225,0.0,1.0,0.0,1.0,10.032717000000002
226,0.0,2.0,0.0,2.0,10.034233
227,0.0,1.0,0.0,1.0,10.035751000000001
228,0.0,2.0,0.0,2.0,10.037234000000002
229,0.0,2.0,0.0,2.0,10.038721000000002
230,0.0,1.0,0.0,1.0,10.040204
231,1.0,2.0,1.0,3.0,10.041677
232,0.0,2.0,0.0,2.0,10.043175000000002
233,0.0,2.0,0.0,2.0,10.044656
234,0.0,1.0,0.0,1.0,10.046140000000001
235,0.0,2.0,0.0,2.0,10.047616000000001
236,0.0,1.0,0.0,1.0,10.049091
237,1.0,2.0,1.0,3.0,10.050575000000002
238,0.0,1.0,0.0,1.0,10.052069
239,0.0,1.0,0.0,1.0,10.053588000000001
240,0.0,2.0,0.0,2.0,10.055097
241,0.0,2.0,0.0,2.0,10.056574000000001
242,0.0,2.0,0.0,2.0,10.058045
243,0.0,2.0,1.0,2.0,10.059530000000002
244,0.0,1.0,1.0,1.0,10.061
245,0.0,2.0,0.0,2.0,10.062482
246,1.0,1.0,1.0,2.0,10.063964000000002
247,1.0,1.0,1.0,1.0,10.065442000000001
248,0.0,2.0,0.0,2.0,10.066964000000002
249,0.0,1.0,0.0,1.0,10.068451
250,0.0,2.0,0.0,2.0,10.069925000000001
251,0.0,2.0,0.0,2.0,10.071404000000001
252,2.0,2.0,2.0,3.0,10.072884000000002
253,0.0,2.0,1.0,2.0,10.074418000000001
254,0.0,2.0,0.0,2.0,10.075952000000001
255,0.0,2.0,0.0,2.0,10.077433
256,0.0,2.0,0.0,2.0,10.078913
257,0.0,1.0,0.0,1.0,10.080390000000001
258,0.0,2.0,0.0,2.0,10.081871
259,0.0,1.0,0.0,1.0,10.083360000000003
260,0.0,2.0,0.0,2.0,10.084845000000001
261,0.0,2.0,0.0,2.0,10.08633
262,0.0,2.0,0.0,2.0,10.087806
263,0.0,2.0,1.0,2.0,10.089282
264,0.0,2.0,0.0,2.0,10.090764
265,1.0,2.0,2.0,3.0,10.092244
266,0.0,2.0,0.0,2.0,10.093752000000002
267,0.0,2.0,2.0,2.0,10.096322
268,0.0,1.0,0.0,1.0,10.098049
269,0.0,2.0,0.0,2.0,10.099537000000002
270,0.0,1.0,0.0,1.0,10.101019
271,0.0,2.0,0.0,2.0,10.102502000000001
272,0.0,2.0,0.0,2.0,10.103993
273,0.0,1.0,0.0,1.0,10.105482000000002
274,0.0,2.0,0.0,2.0,10.10697
275,1.0,1.0,2.0,2.0,10.108449
276,0.0,2.0,0.0,2.0,10.109933000000002
277,0.0,1.0,0.0,1.0,10.111411
278,0.0,2.0,1.0,2.0,10.112894
279,0.0,2.0,0.0,2.0,10.114409000000002
280,0.0,2.0,0.0,2.0,10.115917
281,0.0,1.0,0.0,1.0,10.117395000000002
282,0.0,2.0,1.0,2.0,10.118892000000002
283,0.0,2.0,0.0,2.0,10.120367000000002
284,1.0,2.0,1.0,2.0,10.121841
285,0.0,2.0,0.0,2.0,10.123332000000001
286,0.0,1.0,0.0,1.0,10.124814
287,0.0,1.0,0.0,1.0,10.126334
288,1.0,1.0,1.0,2.0,10.127828000000001
289,0.0,2.0,0.0,2.0,10.129307
290,0.0,2.0,0.0,2.0,10.130829000000002
291,0.0,2.0,0.0,2.0,10.132325000000002
292,0.0,2.0,0.0,2.0,10.133804000000001
293,1.0,2.0,1.0,3.0,10.135305000000002
294,0.0,2.0,1.0,2.0,10.136802
295,0.0,2.0,0.0,2.0,10.138287000000002
296,0.0,2.0,0.0,2.0,10.139766000000002
297,0.0,1.0,0.0,1.0,10.141243
298,0.0,1.0,0.0,1.0,10.142736
299,0.0,1.0,0.0,1.0,10.144224000000001
300,0.0,2.0,0.0,2.0,10.145700000000001
301,0.0,1.0,0.0,1.0,10.147190000000002
302,0.0,2.0,0.0,2.0,10.148662000000002
303,0.0,1.0,0.0,1.0,10.150141000000001
304,0.0,2.0,0.0,2.0,10.151619
305,0.0,1.0,0.0,1.0,10.153097000000002
306,0.0,2.0,0.0,2.0,10.154619
307,0.0,2.0,0.0,2.0,10.156130000000001
308,0.0,1.0,0.0,1.0,10.157607000000002
309,0.0,2.0,0.0,2.0,10.15915
310,0.0,1.0,0.0,1.0,10.160638000000002
311,1.0,2.0,1.0,3.0,10.162147000000001
312,0.0,1.0,0.0,1.0,10.163672000000002
313,0.0,1.0,0.0,1.0,10.16515
314,0.0,2.0,0.0,2.0,10.16667
315,0.0,2.0,0.0,2.0,10.16818
316,0.0,2.0,0.0,2.0,10.169655000000002
317,0.0,2.0,0.0,2.0,10.171185000000001
318,0.0,2.0,0.0,2.0,10.17268
319,1.0,2.0,1.0,3.0,10.174194
320,0.0,2.0,1.0,2.0,10.175707
321,0.0,2.0,0.0,2.0,10.1772
322,0.0,2.0,0.0,2.0,10.178722
323,0.0,2.0,0.0,2.0,10.180226000000001
324,0.0,1.0,0.0,1.0,10.181705000000001
325,0.0,2.0,0.0,2.0,10.183237000000002
326,0.0,2.0,0.0,2.0,10.184738
327,0.0,2.0,0.0,2.0,10.186251000000002
328,0.0,2.0,0.0,2.0,10.187761000000002
329,0.0,2.0,0.0,2.0,10.189240999999999
330,0.0,2.0,0.0,2.0,10.190775000000002
331,0.0,1.0,0.0,1.0,10.192274000000001
332,0.0,1.0,0.0,1.0,10.193764999999999
333,0.0,2.0,0.0,2.0,10.195298000000001
334,1.0,2.0,1.0,3.0,10.196815
335,0.0,2.0,0.0,2.0,10.198466
336,0.0,2.0,0.0,2.0,10.199974000000001
337,0.0,2.0,0.0,2.0,10.201452
338,0.0,2.0,1.0,2.0,10.202972000000003
339,0.0,2.0,0.0,2.0,10.204475000000002
340,0.0,2.0,0.0,2.0,10.205953000000001
341,0.0,2.0,0.0,2.0,10.207487
342,1.0,2.0,1.0,3.0,10.20897
343,0.0,1.0,0.0,1.0,10.210481000000001
344,0.0,1.0,0.0,1.0,10.211982000000003
345,0.0,1.0,1.0,1.0,10.213457000000002
346,0.0,1.0,0.0,1.0,10.21499
347,1.0,1.0,2.0,1.0,10.216514
348,0.0,2.0,0.0,2.0,10.218024
349,0.0,2.0,0.0,2.0,10.219565
350,0.0,2.0,0.0,2.0,10.221044
351,0.0,2.0,1.0,2.0,10.222560000000001
352,2.0,2.0,2.0,4.0,10.224077000000001
353,0.0,2.0,0.0,2.0,10.225566
354,0.0,2.0,0.0,2.0,10.227095000000002
355,0.0,2.0,0.0,2.0,10.228571000000002
356,0.0,1.0,0.0,1.0,10.230044
357,0.0,2.0,0.0,2.0,10.231528
358,1.0,2.0,1.0,2.0,10.23301
359,0.0,2.0,0.0,2.0,10.234501999999999
360,0.0,1.0,0.0,1.0,10.236032999999999
361,0.0,2.0,0.0,2.0,10.237555
362,0.0,2.0,0.0,2.0,10.239045
363,0.0,1.0,0.0,1.0,10.240528000000001
364,0.0,2.0,0.0,2.0,10.242006
365,0.0,2.0,0.0,2.0,10.243490000000001
366,0.0,1.0,0.0,1.0,10.244981
367,0.0,1.0,1.0,1.0,10.246469000000001
368,0.0,2.0,0.0,2.0,10.247948000000001
369,0.0,2.0,0.0,2.0,10.249428000000002
370,0.0,2.0,0.0,2.0,10.250957
371,0.0,2.0,0.0,2.0,10.252433
372,0.0,2.0,0.0,2.0,10.253908
373,0.0,1.0,0.0,1.0,10.255411000000002
