No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,12.0,12.0,12.0,12.0,1001.976267
1,12.0,12.0,12.0,12.0,1001.977345
2,12.0,12.0,12.0,12.0,1001.978382
3,12.0,12.0,12.0,12.0,1001.979417
4,12.0,12.0,12.0,12.0,1001.980452
5,12.0,12.0,12.0,12.0,1001.981499
6,12.0,12.0,12.0,12.0,1001.9825079999999
7,12.0,12.0,12.0,12.0,1001.9835479999999
8,12.0,12.0,12.0,12.0,1001.9845899999999
9,12.0,12.0,12.0,12.0,1001.9856209999999
10,12.0,12.0,12.0,12.0,1001.986646
11,12.0,12.0,12.0,12.0,1001.9876939999999
12,12.0,12.0,12.0,12.0,1001.988738
13,12.0,12.0,12.0,12.0,1001.989745
14,12.0,12.0,12.0,12.0,1001.9908029999999
15,12.0,12.0,12.0,12.0,1001.991848
16,12.0,12.0,12.0,12.0,1001.9928669999999
17,12.0,12.0,12.0,12.0,1001.993831
18,12.0,12.0,12.0,12.0,1001.994819
19,12.0,12.0,12.0,12.0,1001.995867
20,12.0,12.0,12.0,12.0,1001.996897
21,12.0,12.0,12.0,12.0,1001.997932
22,12.0,12.0,12.0,12.0,1001.99894
23,12.0,12.0,12.0,12.0,1001.999954
24,12.0,12.0,12.0,12.0,1002.000996
25,12.0,12.0,12.0,12.0,1002.002031
26,12.0,12.0,12.0,12.0,1002.003036
27,12.0,12.0,12.0,12.0,1002.00409
28,12.0,12.0,12.0,12.0,1002.0051139999999
29,12.0,12.0,12.0,12.0,1002.006118
30,12.0,12.0,12.0,12.0,1002.00716
31,12.0,12.0,12.0,12.0,1002.008197
32,12.0,12.0,12.0,12.0,1002.009223
33,12.0,12.0,12.0,12.0,1002.010226
34,12.0,12.0,12.0,12.0,1002.01125
35,12.0,12.0,12.0,12.0,1002.012288
36,12.0,12.0,12.0,12.0,1002.013293
37,12.0,12.0,12.0,12.0,1002.014293
38,12.0,12.0,12.0,12.0,1002.015304
39,12.0,12.0,12.0,12.0,1002.0163259999999
