No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,1061,214,1152,1075,104.635253
1,1072,222,1138,1081,104.636373
2,1081,227,1156,1087,104.63747900000001
3,1107,219,1169,1118,104.63864500000001
4,1100,224,1165,1112,104.639808
5,1089,227,1166,1095,104.64098600000001
6,1075,225,1155,1084,104.642165
7,1089,229,1171,1096,104.643369
8,1075,226,1147,1090,104.64452200000001
9,1089,220,1165,1093,104.64565300000001
10,1057,223,1140,1067,104.646842
11,1084,229,1160,1090,104.648004
12,1084,227,1164,1090,104.649102
13,1075,221,1145,1087,104.65024500000001
14,1058,228,1118,1066,104.65139400000001
15,1085,225,1162,1098,104.652522
16,1101,228,1159,1110,104.653659
17,1095,226,1151,1104,104.654769
18,1074,222,1157,1082,104.65586800000001
19,1076,222,1156,1083,104.657032
20,1055,224,1154,1068,104.658208
21,1067,226,1150,1073,104.65937100000001
22,1092,227,1167,1095,104.660469
23,1075,210,1158,1085,104.661568
24,1073,221,1161,1083,104.662698
25,1081,232,1159,1086,104.66385100000001
26,1104,223,1153,1106,104.665053
27,1116,222,1166,1121,104.66625900000001
28,1087,218,1155,1095,104.66741
29,1081,219,1146,1089,104.66851100000001
30,1090,223,1173,1101,104.669605
31,1088,225,1147,1093,104.67071600000001
32,1081,221,1144,1090,104.67182000000001
33,1089,223,1146,1093,104.67292400000001
34,1059,219,1137,1065,104.67408800000001
35,1096,226,1162,1101,104.67525300000001
36,1098,226,1172,1104,104.676445
37,1069,226,1142,1082,104.677597
38,1126,227,1180,1130,104.67875400000001
39,1044,226,1129,1053,104.67995300000001
40,1086,226,1172,1090,104.68112
41,1103,227,1160,1115,104.682231
42,1073,219,1154,1085,104.68338700000001
43,1083,228,1162,1088,104.68451300000001
44,1108,224,1165,1110,104.68562
45,1072,228,1142,1083,104.68673100000001
46,1113,219,1156,1125,104.687832
47,1098,223,1172,1106,104.688975
48,1082,219,1153,1085,104.690184
49,1088,225,1160,1101,104.691353
50,1113,228,1164,1118,104.692535
51,1085,223,1149,1094,104.69370900000001
52,1074,228,1154,1083,104.694924
53,1110,224,1173,1114,104.696115
54,1098,220,1160,1106,104.69725100000001
55,1082,225,1164,1090,104.69836600000001
56,1079,229,1164,1082,104.699458
57,1110,221,1171,1117,104.70055900000001
