No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,68.0,58.0,74.0,82.0,4.568711
1,68.0,58.0,71.0,84.0,4.569687999999999
2,68.0,60.0,76.0,83.0,4.5707
3,69.0,56.0,74.0,80.0,4.571754
4,71.0,65.0,75.0,87.0,4.572732
5,69.0,63.0,77.0,86.0,4.573698
6,69.0,56.0,83.0,83.0,4.574725000000001
7,70.0,62.0,78.0,87.0,4.575759
8,64.0,60.0,74.0,78.0,4.576784999999999
9,69.0,58.0,78.0,86.0,4.577749000000001
10,65.0,56.0,69.0,79.0,4.578752
11,67.0,65.0,78.0,85.0,4.579786
12,69.0,63.0,80.0,85.0,4.580819999999999
13,67.0,59.0,74.0,77.0,4.581797999999999
14,68.0,64.0,77.0,84.0,4.582770999999999
15,69.0,65.0,79.0,85.0,4.5837330000000005
16,67.0,57.0,76.0,79.0,4.5846990000000005
17,71.0,61.0,77.0,88.0,4.5856639999999995
18,69.0,59.0,75.0,83.0,4.586634
19,67.0,59.0,76.0,82.0,4.587598
20,67.0,59.0,76.0,81.0,4.588559
21,71.0,60.0,81.0,86.0,4.589518999999999
22,71.0,58.0,76.0,85.0,4.590493
23,62.0,56.0,75.0,76.0,4.591499000000001
24,70.0,56.0,80.0,83.0,4.592525999999999
25,64.0,64.0,73.0,86.0,4.593567
26,65.0,52.0,72.0,81.0,4.594574
27,71.0,58.0,77.0,82.0,4.595580999999999
28,71.0,53.0,77.0,77.0,4.596552000000001
29,73.0,57.0,76.0,85.0,4.597588
30,65.0,64.0,77.0,82.0,4.598651
31,70.0,54.0,79.0,78.0,4.599627999999999
32,69.0,59.0,82.0,84.0,4.600593
33,68.0,56.0,76.0,81.0,4.601554999999999
34,69.0,54.0,77.0,79.0,4.60252
35,68.0,60.0,76.0,83.0,4.603479
36,74.0,64.0,77.0,89.0,4.604443
37,71.0,59.0,77.0,83.0,4.6054010000000005
38,70.0,58.0,77.0,82.0,4.606363999999999
39,69.0,57.0,81.0,83.0,4.607333000000001
40,67.0,61.0,73.0,79.0,4.608416
41,68.0,59.0,74.0,85.0,4.609439999999999
42,63.0,57.0,78.0,76.0,4.610467999999999
43,68.0,60.0,75.0,79.0,4.61148
44,71.0,57.0,77.0,85.0,4.612462000000001
45,68.0,59.0,77.0,86.0,4.613421000000001
46,72.0,57.0,77.0,82.0,4.614385
47,67.0,62.0,76.0,86.0,4.615451
48,69.0,56.0,76.0,80.0,4.616479999999999
49,72.0,58.0,77.0,87.0,4.617436
50,68.0,57.0,79.0,84.0,4.6184069999999995
51,67.0,55.0,74.0,81.0,4.619370999999999
52,68.0,61.0,75.0,84.0,4.620326
53,66.0,56.0,76.0,80.0,4.621283999999999
54,67.0,58.0,77.0,81.0,4.622242
55,70.0,55.0,79.0,83.0,4.6232109999999995
56,73.0,62.0,80.0,87.0,4.624173000000001
57,70.0,58.0,79.0,80.0,4.6251999999999995
58,65.0,60.0,75.0,83.0,4.62623
59,67.0,58.0,77.0,82.0,4.6272649999999995
60,68.0,60.0,78.0,81.0,4.6282250000000005
61,69.0,55.0,79.0,81.0,4.629184
62,69.0,65.0,75.0,85.0,4.630207
63,74.0,60.0,84.0,85.0,4.631258000000001
64,67.0,57.0,74.0,78.0,4.6322209999999995
65,67.0,54.0,74.0,80.0,4.633179999999999
66,70.0,58.0,78.0,85.0,4.634135000000001
67,71.0,60.0,78.0,86.0,4.635104
68,71.0,64.0,81.0,88.0,4.636067000000001
69,69.0,58.0,81.0,86.0,4.6370249999999995
70,68.0,58.0,82.0,81.0,4.637981
71,70.0,60.0,78.0,87.0,4.638953000000001
72,67.0,55.0,75.0,78.0,4.6399159999999995
73,62.0,54.0,75.0,78.0,4.640893999999999
74,71.0,59.0,80.0,83.0,4.641935999999999
75,71.0,64.0,79.0,88.0,4.642974000000001
76,73.0,53.0,82.0,81.0,4.643962
77,70.0,61.0,80.0,87.0,4.644921
78,76.0,60.0,83.0,84.0,4.645878
79,72.0,59.0,81.0,89.0,4.646902000000001
80,70.0,65.0,82.0,86.0,4.647938999999999
81,69.0,62.0,78.0,85.0,4.6489139999999995
82,73.0,64.0,82.0,88.0,4.649870999999999
83,74.0,60.0,80.0,86.0,4.650836999999999
84,70.0,61.0,78.0,82.0,4.651794000000001
85,63.0,61.0,75.0,79.0,4.652749999999999
86,67.0,63.0,78.0,85.0,4.653705
87,68.0,54.0,74.0,80.0,4.654667
88,68.0,54.0,73.0,78.0,4.655628
89,67.0,57.0,74.0,82.0,4.656579000000001
90,70.0,54.0,77.0,80.0,4.657536
91,70.0,69.0,79.0,86.0,4.658571
92,69.0,57.0,76.0,85.0,4.659602
93,68.0,59.0,79.0,82.0,4.660617
94,70.0,60.0,76.0,86.0,4.661574
95,69.0,63.0,80.0,87.0,4.662546000000001
96,74.0,55.0,80.0,86.0,4.663506999999999
97,70.0,57.0,78.0,82.0,4.6645389999999995
98,69.0,64.0,76.0,83.0,4.6655750000000005
99,69.0,60.0,79.0,82.0,4.666542
100,69.0,59.0,75.0,83.0,4.667498999999999
101,74.0,57.0,80.0,86.0,4.668457999999999
102,65.0,55.0,76.0,78.0,4.669549999999999
103,68.0,60.0,83.0,87.0,4.670525
104,68.0,63.0,73.0,82.0,4.671486
105,72.0,62.0,77.0,84.0,4.6724429999999995
106,72.0,56.0,84.0,81.0,4.673413999999999
107,68.0,60.0,79.0,85.0,4.6744319999999995
108,72.0,63.0,81.0,88.0,4.675459999999999
109,71.0,62.0,80.0,82.0,4.676501
110,71.0,63.0,77.0,86.0,4.677460999999999
111,66.0,57.0,78.0,82.0,4.6784289999999995
112,69.0,63.0,73.0,83.0,4.679391000000001
113,74.0,66.0,81.0,86.0,4.680346999999999
114,74.0,60.0,79.0,87.0,4.681309000000001
115,70.0,60.0,77.0,88.0,4.682337
116,70.0,61.0,82.0,86.0,4.683384
117,69.0,54.0,71.0,80.0,4.684343999999999
118,69.0,56.0,81.0,83.0,4.685305
119,68.0,59.0,80.0,85.0,4.686265000000001
120,71.0,66.0,83.0,87.0,4.687234999999999
121,75.0,59.0,83.0,86.0,4.688193999999999
122,71.0,58.0,77.0,84.0,4.689154
123,69.0,56.0,77.0,84.0,4.690116
124,66.0,60.0,76.0,81.0,4.691087
125,67.0,61.0,74.0,86.0,4.692131
126,70.0,59.0,79.0,83.0,4.6931650000000005
127,66.0,63.0,76.0,80.0,4.69417
128,68.0,57.0,78.0,79.0,4.695136
129,69.0,65.0,85.0,84.0,4.696095
130,66.0,60.0,77.0,81.0,4.697053
131,70.0,61.0,77.0,86.0,4.698105
132,75.0,58.0,83.0,90.0,4.6991320000000005
133,70.0,57.0,79.0,80.0,4.700092
134,69.0,59.0,76.0,82.0,4.701055
135,65.0,60.0,71.0,81.0,4.702009
136,69.0,61.0,78.0,83.0,4.70298
137,71.0,58.0,78.0,85.0,4.703937
138,73.0,62.0,75.0,85.0,4.704898
139,65.0,58.0,71.0,83.0,4.705855
140,68.0,54.0,77.0,82.0,4.706832
141,72.0,62.0,77.0,88.0,4.707846999999999
142,71.0,59.0,76.0,85.0,4.7088730000000005
143,71.0,60.0,76.0,84.0,4.709911
144,69.0,60.0,81.0,82.0,4.710882
145,68.0,59.0,75.0,85.0,4.7118389999999994
146,69.0,57.0,78.0,83.0,4.712796000000001
147,71.0,59.0,78.0,86.0,4.713768
148,69.0,57.0,74.0,85.0,4.714824
149,68.0,61.0,77.0,85.0,4.715833999999999
150,68.0,60.0,80.0,81.0,4.716791000000001
151,68.0,56.0,78.0,83.0,4.717751
152,68.0,55.0,78.0,81.0,4.718724999999999
153,68.0,63.0,79.0,86.0,4.719683
154,65.0,60.0,76.0,79.0,4.7206410000000005
155,71.0,56.0,79.0,83.0,4.721598999999999
156,69.0,55.0,76.0,83.0,4.722571
157,72.0,61.0,74.0,85.0,4.723534000000001
158,70.0,58.0,77.0,83.0,4.724489
159,71.0,61.0,80.0,87.0,4.725536999999999
160,69.0,62.0,81.0,88.0,4.726573999999999
161,71.0,55.0,76.0,82.0,4.727573
162,68.0,57.0,78.0,78.0,4.728527
163,73.0,52.0,81.0,81.0,4.729486
164,74.0,69.0,86.0,88.0,4.7305399999999995
165,73.0,58.0,80.0,88.0,4.731560999999999
166,66.0,60.0,79.0,85.0,4.732521
167,70.0,57.0,75.0,85.0,4.733480999999999
168,67.0,54.0,80.0,79.0,4.734444999999999
169,70.0,54.0,77.0,81.0,4.735405999999999
170,71.0,51.0,77.0,82.0,4.7363599999999995
171,72.0,59.0,81.0,82.0,4.737316999999999
172,65.0,65.0,74.0,84.0,4.738272
173,64.0,61.0,73.0,83.0,4.739238
174,66.0,63.0,77.0,82.0,4.740195
175,72.0,62.0,79.0,84.0,4.741212000000001
176,70.0,56.0,74.0,82.0,4.742235000000001
177,65.0,59.0,79.0,83.0,4.743276
178,72.0,62.0,77.0,87.0,4.744300000000001
179,67.0,63.0,73.0,84.0,4.745303
180,62.0,61.0,71.0,80.0,4.746264
181,64.0,54.0,76.0,80.0,4.7480530000000005
182,69.0,55.0,82.0,83.0,4.749124
183,68.0,60.0,80.0,83.0,4.750128999999999
184,69.0,57.0,82.0,85.0,4.751096
185,67.0,58.0,74.0,83.0,4.75206
186,69.0,57.0,81.0,85.0,4.753017
187,66.0,62.0,77.0,82.0,4.753978
188,68.0,64.0,76.0,86.0,4.754947
189,68.0,60.0,79.0,83.0,4.755910999999999
190,66.0,59.0,73.0,81.0,4.756873000000001
191,67.0,64.0,81.0,87.0,4.7578309999999995
192,72.0,59.0,79.0,83.0,4.7588919999999995
193,70.0,51.0,79.0,82.0,4.759919
194,71.0,64.0,79.0,86.0,4.760911
195,73.0,56.0,79.0,87.0,4.761870999999999
196,74.0,58.0,78.0,86.0,4.762843
197,69.0,61.0,78.0,83.0,4.763802
198,67.0,56.0,79.0,80.0,4.764808
199,66.0,57.0,78.0,85.0,4.765841999999999
200,72.0,61.0,81.0,87.0,4.766831
201,71.0,64.0,77.0,86.0,4.76779
202,67.0,59.0,73.0,80.0,4.768750000000001
