No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,3.0,36.0,5.0,39.0,16.799506
1,2.0,41.0,4.0,43.0,16.803497999999998
2,1.0,39.0,4.0,40.0,16.807414
3,0.0,35.0,0.0,35.0,16.811296
4,1.0,42.0,2.0,43.0,16.815233999999997
5,1.0,40.0,1.0,41.0,16.819198
6,2.0,40.0,3.0,42.0,16.823154000000002
7,3.0,36.0,5.0,39.0,16.827104999999996
8,4.0,38.0,5.0,40.0,16.831082000000002
9,1.0,37.0,7.0,38.0,16.835043999999996
10,1.0,40.0,4.0,41.0,16.83903
11,2.0,38.0,2.0,40.0,16.842926
12,0.0,36.0,4.0,36.0,16.846835
13,2.0,41.0,4.0,43.0,16.850749
14,1.0,40.0,2.0,41.0,16.854684
15,2.0,38.0,3.0,40.0,16.85859
16,3.0,43.0,4.0,44.0,16.862496999999998
17,0.0,39.0,2.0,39.0,16.866529
18,5.0,35.0,6.0,38.0,16.870497999999998
19,3.0,37.0,5.0,39.0,16.874471
20,1.0,37.0,3.0,38.0,16.878417
21,2.0,38.0,3.0,40.0,16.882373
22,2.0,39.0,3.0,41.0,16.886322
23,0.0,38.0,0.0,38.0,16.890354000000002
24,0.0,39.0,3.0,39.0,16.894287999999996
25,1.0,41.0,2.0,42.0,16.898232
26,1.0,42.0,4.0,43.0,16.902426999999996
27,0.0,39.0,3.0,39.0,16.906379
28,2.0,39.0,6.0,41.0,16.910334999999996
29,1.0,42.0,3.0,43.0,16.914274
30,2.0,37.0,6.0,39.0,16.918275
31,2.0,38.0,4.0,40.0,16.922272
32,0.0,39.0,4.0,39.0,16.926253000000003
33,1.0,40.0,2.0,41.0,16.930172999999996
34,3.0,42.0,3.0,45.0,16.934101
35,2.0,40.0,2.0,42.0,16.938122
36,1.0,39.0,2.0,40.0,16.942151000000003
37,1.0,36.0,4.0,37.0,16.946120999999998
38,0.0,40.0,5.0,40.0,16.950134
39,1.0,38.0,1.0,39.0,16.954093
40,3.0,40.0,5.0,43.0,16.958045
41,5.0,39.0,8.0,43.0,16.961982999999996
42,2.0,37.0,4.0,39.0,16.965995
43,2.0,36.0,2.0,38.0,16.969935999999997
44,1.0,41.0,2.0,42.0,16.973906
45,1.0,42.0,1.0,43.0,16.977922999999997
46,3.0,38.0,4.0,41.0,16.981927999999996
47,2.0,39.0,2.0,41.0,16.985855
48,2.0,42.0,7.0,44.0,16.989882
49,0.0,37.0,2.0,37.0,16.993830000000003
50,2.0,36.0,4.0,38.0,16.997788999999997
51,2.0,39.0,4.0,41.0,17.001714
52,3.0,39.0,5.0,42.0,17.005851
53,1.0,37.0,2.0,38.0,17.009813
54,4.0,36.0,4.0,40.0,17.013796999999997
55,1.0,42.0,1.0,43.0,17.017715000000003
56,2.0,41.0,2.0,43.0,17.021662
57,0.0,37.0,2.0,37.0,17.025671000000003
58,1.0,38.0,3.0,39.0,17.029662000000002
59,1.0,37.0,2.0,38.0,17.033718
60,0.0,39.0,4.0,39.0,17.037624
61,0.0,40.0,4.0,40.0,17.041632
62,3.0,41.0,5.0,44.0,17.045595999999996
63,0.0,37.0,2.0,37.0,17.049549999999996
64,0.0,34.0,0.0,34.0,17.053466
65,1.0,38.0,2.0,39.0,17.057479
66,1.0,39.0,1.0,40.0,17.061459999999997
67,2.0,39.0,5.0,41.0,17.06545
68,4.0,40.0,7.0,44.0,17.069392999999998
69,0.0,36.0,1.0,36.0,17.073374
70,3.0,36.0,7.0,39.0,17.077415000000002
71,2.0,40.0,3.0,41.0,17.081476000000002
72,0.0,40.0,3.0,40.0,17.085442999999998
73,1.0,37.0,4.0,38.0,17.089422
74,1.0,38.0,1.0,39.0,17.093396999999996
75,4.0,40.0,5.0,44.0,17.097389999999997
76,4.0,40.0,5.0,44.0,17.101352
77,0.0,37.0,2.0,37.0,17.105288
78,3.0,36.0,4.0,39.0,17.10953
79,1.0,39.0,2.0,40.0,17.113495
80,1.0,37.0,4.0,38.0,17.117457
81,0.0,35.0,0.0,35.0,17.121409
82,2.0,41.0,4.0,43.0,17.125315999999998
83,3.0,39.0,6.0,42.0,17.129255
84,0.0,42.0,2.0,42.0,17.133218999999997
85,1.0,37.0,5.0,38.0,17.137186
86,0.0,40.0,1.0,40.0,17.141154
87,2.0,37.0,3.0,39.0,17.145120999999996
88,2.0,40.0,4.0,42.0,17.14909
89,1.0,40.0,2.0,41.0,17.153138999999996
90,2.0,38.0,4.0,40.0,17.157168
91,0.0,36.0,2.0,36.0,17.161080999999996
92,1.0,37.0,2.0,38.0,17.165124
93,1.0,39.0,1.0,40.0,17.169116000000002
94,1.0,36.0,1.0,37.0,17.173093
95,3.0,38.0,4.0,39.0,17.177033
96,4.0,38.0,7.0,42.0,17.181036999999996
97,0.0,37.0,1.0,37.0,17.18502
98,3.0,36.0,3.0,39.0,17.188983
99,2.0,38.0,6.0,40.0,17.193050999999997
100,1.0,40.0,1.0,41.0,17.197021
101,5.0,39.0,5.0,44.0,17.201127999999997
102,0.0,37.0,0.0,37.0,17.205067
103,1.0,37.0,2.0,38.0,17.209038
104,1.0,39.0,1.0,40.0,17.213113
105,1.0,36.0,5.0,37.0,17.217025
106,1.0,36.0,5.0,37.0,17.221007999999998
107,1.0,36.0,1.0,37.0,17.224953
108,0.0,40.0,2.0,40.0,17.228859999999997
109,1.0,35.0,5.0,36.0,17.232897
110,3.0,41.0,4.0,44.0,17.236922999999997
111,1.0,36.0,2.0,37.0,17.241076
112,0.0,38.0,3.0,38.0,17.245109
113,3.0,38.0,4.0,39.0,17.249094
114,1.0,39.0,6.0,40.0,17.253054
115,2.0,38.0,4.0,40.0,17.257075
116,2.0,36.0,2.0,38.0,17.261074
117,0.0,39.0,2.0,39.0,17.265056
118,2.0,39.0,3.0,41.0,17.268980999999997
119,1.0,36.0,4.0,37.0,17.272911
120,2.0,38.0,2.0,40.0,17.276868999999998
121,2.0,41.0,4.0,43.0,17.280797999999997
122,3.0,35.0,5.0,38.0,17.284733000000003
123,5.0,39.0,5.0,44.0,17.288629999999998
124,2.0,37.0,4.0,39.0,17.29262
125,2.0,39.0,5.0,41.0,17.296563
126,3.0,40.0,5.0,43.0,17.300478999999996
127,2.0,38.0,2.0,40.0,17.304373
128,2.0,36.0,2.0,37.0,17.308327999999996
129,4.0,41.0,6.0,43.0,17.312263
130,2.0,40.0,3.0,42.0,17.316377000000003
131,1.0,39.0,1.0,40.0,17.320253
132,0.0,37.0,2.0,37.0,17.324205
133,3.0,37.0,5.0,40.0,17.328162
134,2.0,40.0,4.0,41.0,17.33211
135,2.0,38.0,3.0,40.0,17.336019
136,3.0,35.0,5.0,38.0,17.339996999999997
137,0.0,37.0,1.0,37.0,17.344006
138,1.0,38.0,2.0,39.0,17.347934000000002
139,4.0,41.0,8.0,44.0,17.351850999999996
140,1.0,40.0,4.0,40.0,17.355742999999997
141,1.0,39.0,2.0,40.0,17.359674
142,2.0,38.0,6.0,40.0,17.363594
143,1.0,40.0,3.0,41.0,17.367511
144,1.0,38.0,1.0,39.0,17.371487000000002
145,1.0,38.0,2.0,39.0,17.375455000000002
146,1.0,35.0,2.0,36.0,17.379449
147,3.0,37.0,11.0,40.0,17.383463
148,3.0,39.0,6.0,42.0,17.387366
149,0.0,41.0,4.0,41.0,17.391305000000003
150,1.0,38.0,3.0,39.0,17.39528
151,0.0,39.0,0.0,39.0,17.399217999999998
152,3.0,41.0,3.0,42.0,17.403154999999998
153,2.0,38.0,2.0,40.0,17.407061
154,1.0,40.0,1.0,41.0,17.410998999999997
155,1.0,39.0,2.0,40.0,17.414921999999997
156,2.0,40.0,4.0,42.0,17.419033999999996
157,1.0,39.0,1.0,40.0,17.4229
158,2.0,38.0,5.0,40.0,17.426865999999997
159,1.0,40.0,1.0,41.0,17.430799
160,1.0,38.0,4.0,39.0,17.434756
161,1.0,39.0,2.0,40.0,17.438662
162,0.0,35.0,1.0,35.0,17.442675
163,1.0,40.0,1.0,41.0,17.446621999999998
164,3.0,40.0,8.0,43.0,17.450550999999997
165,1.0,33.0,7.0,34.0,17.454524999999997
166,0.0,38.0,0.0,38.0,17.458391
167,0.0,35.0,0.0,35.0,17.46233
168,3.0,39.0,3.0,42.0,17.466309000000003
169,1.0,37.0,4.0,38.0,17.470343
170,3.0,38.0,3.0,39.0,17.474243
171,2.0,38.0,6.0,40.0,17.478237999999997
172,2.0,38.0,2.0,40.0,17.482168
173,2.0,44.0,4.0,46.0,17.486106999999997
174,3.0,39.0,3.0,42.0,17.490127
175,2.0,39.0,4.0,41.0,17.494138
176,2.0,42.0,3.0,44.0,17.498157
177,1.0,38.0,2.0,39.0,17.502116
178,1.0,38.0,3.0,39.0,17.506115
179,1.0,41.0,1.0,42.0,17.510046000000003
180,3.0,38.0,5.0,41.0,17.514023
181,1.0,36.0,2.0,37.0,17.517957000000003
182,2.0,36.0,7.0,38.0,17.522148
183,1.0,37.0,4.0,38.0,17.526089999999996
184,0.0,40.0,1.0,40.0,17.530023999999997
185,1.0,40.0,5.0,41.0,17.533977
186,1.0,38.0,3.0,39.0,17.537950000000002
187,2.0,38.0,4.0,40.0,17.541862000000002
188,2.0,44.0,3.0,46.0,17.545809
189,1.0,36.0,3.0,37.0,17.549731
190,4.0,41.0,5.0,45.0,17.553700999999997
191,1.0,41.0,3.0,42.0,17.557681000000002
192,0.0,38.0,2.0,38.0,17.561559000000003
193,1.0,40.0,4.0,41.0,17.565517
194,5.0,37.0,7.0,40.0,17.569485999999998
195,1.0,38.0,1.0,39.0,17.573479
196,2.0,39.0,2.0,41.0,17.577399
197,4.0,39.0,5.0,43.0,17.581370999999997
198,4.0,40.0,4.0,44.0,17.585279
199,1.0,37.0,6.0,38.0,17.589277000000003
200,0.0,40.0,1.0,40.0,17.593217000000003
201,2.0,40.0,4.0,42.0,17.597167999999996
202,1.0,40.0,1.0,41.0,17.601236999999998
203,3.0,36.0,4.0,39.0,17.605252
204,3.0,38.0,5.0,41.0,17.609201999999996
205,2.0,38.0,7.0,40.0,17.61307
206,5.0,39.0,6.0,43.0,17.617007
207,2.0,38.0,3.0,39.0,17.620993
208,0.0,38.0,5.0,38.0,17.625087999999998
209,1.0,38.0,5.0,39.0,17.629042999999996
210,1.0,40.0,2.0,41.0,17.632953999999998
211,1.0,38.0,4.0,39.0,17.636941
212,0.0,42.0,1.0,42.0,17.640867
213,1.0,37.0,2.0,38.0,17.644878999999996
214,2.0,41.0,2.0,41.0,17.648758
215,1.0,39.0,4.0,40.0,17.652704999999997
216,2.0,37.0,5.0,39.0,17.656771
217,1.0,38.0,1.0,39.0,17.66066
218,2.0,38.0,3.0,40.0,17.664633000000002
219,0.0,38.0,1.0,38.0,17.668605
220,0.0,38.0,2.0,38.0,17.672564
221,4.0,40.0,5.0,43.0,17.676417
222,2.0,38.0,4.0,40.0,17.680338999999996
223,1.0,38.0,2.0,39.0,17.684365
224,2.0,38.0,3.0,40.0,17.688415999999997
225,2.0,38.0,3.0,40.0,17.692447
226,2.0,38.0,6.0,39.0,17.696519000000002
227,2.0,36.0,4.0,38.0,17.700643
228,1.0,39.0,2.0,40.0,17.704741
229,1.0,38.0,3.0,39.0,17.708764000000002
230,2.0,37.0,2.0,39.0,17.712747
231,1.0,41.0,4.0,42.0,17.716713999999996
232,4.0,39.0,4.0,43.0,17.720733000000003
233,1.0,37.0,2.0,38.0,17.724876000000002
234,3.0,38.0,4.0,41.0,17.729124999999996
235,1.0,36.0,2.0,37.0,17.733154
236,2.0,40.0,5.0,42.0,17.73717
237,0.0,38.0,3.0,38.0,17.741158999999996
238,1.0,38.0,3.0,39.0,17.745233
239,1.0,42.0,3.0,43.0,17.749242000000002
240,6.0,37.0,8.0,43.0,17.753203999999997
241,2.0,39.0,2.0,41.0,17.757222999999996
242,2.0,42.0,6.0,44.0,17.76119
243,1.0,39.0,4.0,40.0,17.765209999999996
244,1.0,37.0,2.0,38.0,17.769250999999997
245,2.0,38.0,3.0,40.0,17.773274
246,2.0,37.0,5.0,38.0,17.777233000000003
247,1.0,33.0,4.0,34.0,17.781233
248,2.0,36.0,2.0,38.0,17.785251000000002
249,1.0,35.0,1.0,36.0,17.789270000000002
250,1.0,38.0,1.0,39.0,17.793245999999996
251,1.0,41.0,2.0,42.0,17.7973
252,2.0,41.0,4.0,43.0,17.801346000000002
253,0.0,35.0,2.0,35.0,17.805400999999996
254,0.0,34.0,1.0,34.0,17.809385
255,4.0,35.0,5.0,39.0,17.813375
256,0.0,42.0,4.0,42.0,17.817375999999996
257,1.0,41.0,1.0,42.0,17.821412000000002
258,1.0,37.0,1.0,38.0,17.825387
259,2.0,39.0,5.0,41.0,17.829399000000002
260,3.0,39.0,4.0,42.0,17.833568999999997
261,0.0,37.0,1.0,37.0,17.837604
262,1.0,38.0,4.0,39.0,17.841586
263,5.0,35.0,7.0,39.0,17.845591
264,3.0,42.0,5.0,45.0,17.84966
265,1.0,38.0,4.0,38.0,17.853828
266,0.0,39.0,1.0,39.0,17.858036999999996
267,2.0,39.0,5.0,41.0,17.862192999999998
268,2.0,40.0,3.0,42.0,17.866481999999998
269,1.0,39.0,6.0,40.0,17.870542
270,1.0,39.0,2.0,40.0,17.8746
271,4.0,34.0,5.0,38.0,17.878728000000002
272,2.0,38.0,7.0,40.0,17.882799
273,1.0,43.0,2.0,44.0,17.886854999999997
274,3.0,41.0,4.0,44.0,17.890926999999998
275,0.0,38.0,3.0,38.0,17.894944000000002
276,0.0,40.0,0.0,40.0,17.899026
277,4.0,38.0,5.0,41.0,17.903081
278,2.0,37.0,3.0,39.0,17.907165
279,3.0,40.0,4.0,43.0,17.911158
280,1.0,40.0,4.0,41.0,17.915166
281,0.0,38.0,3.0,38.0,17.919182999999997
282,1.0,37.0,6.0,38.0,17.923175
283,3.0,37.0,4.0,40.0,17.927064
284,3.0,42.0,5.0,45.0,17.931013
285,2.0,37.0,4.0,39.0,17.935031000000002
286,0.0,39.0,4.0,39.0,17.939208999999998
287,1.0,41.0,2.0,42.0,17.943191
288,0.0,35.0,3.0,35.0,17.947249
289,2.0,36.0,3.0,38.0,17.951231
290,2.0,39.0,4.0,41.0,17.955221
291,3.0,38.0,7.0,41.0,17.959196
292,0.0,36.0,1.0,36.0,17.963158999999997
293,2.0,39.0,3.0,41.0,17.967205
294,0.0,40.0,3.0,40.0,17.971274
295,0.0,39.0,1.0,39.0,17.975265
296,1.0,43.0,2.0,44.0,17.979236999999998
297,2.0,38.0,3.0,40.0,17.983282000000003
298,2.0,37.0,6.0,39.0,17.987311999999996
299,1.0,36.0,2.0,36.0,17.991380999999997
300,3.0,36.0,4.0,39.0,17.995378000000002
301,2.0,37.0,3.0,39.0,17.999418999999996
302,3.0,37.0,5.0,40.0,18.003428999999997
303,2.0,37.0,5.0,39.0,18.007447
304,4.0,38.0,4.0,42.0,18.011449999999996
305,2.0,40.0,3.0,42.0,18.015470999999998
306,3.0,40.0,4.0,43.0,18.019455999999998
307,1.0,39.0,4.0,40.0,18.023424999999996
308,2.0,40.0,2.0,42.0,18.027437
309,1.0,41.0,4.0,42.0,18.031438
310,2.0,39.0,3.0,41.0,18.035449999999997
311,2.0,40.0,2.0,42.0,18.039512000000002
312,5.0,38.0,5.0,43.0,18.043408
313,0.0,38.0,3.0,38.0,18.047469
314,2.0,41.0,2.0,42.0,18.051443999999996
315,1.0,37.0,3.0,38.0,18.055464
316,2.0,38.0,5.0,40.0,18.059441
317,0.0,39.0,0.0,39.0,18.06346
318,3.0,39.0,5.0,42.0,18.067442
319,2.0,36.0,3.0,38.0,18.071429000000002
320,0.0,41.0,3.0,41.0,18.075432
321,4.0,34.0,6.0,38.0,18.079475000000002
322,3.0,38.0,5.0,41.0,18.083534
323,2.0,36.0,2.0,38.0,18.087493000000002
