No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,170,120,183,183,130.158387
1,167,132,180,183,130.15940899999998
2,173,127,185,179,130.160414
3,166,130,175,178,130.161427
4,167,132,178,181,130.162412
5,168,125,176,181,130.163353
6,169,129,180,179,130.164289
7,168,122,179,180,130.165226
8,172,127,180,182,130.166176
9,162,122,178,176,130.167116
10,163,126,181,174,130.168051
11,167,127,179,176,130.16899
12,173,117,183,180,130.169942
13,171,135,179,181,130.17098
14,169,131,182,180,130.171989
15,164,119,177,180,130.173027
16,170,127,183,181,130.174017
17,169,130,179,179,130.174997
18,168,129,182,182,130.176003
19,167,128,180,181,130.17702
20,170,124,181,176,130.177964
21,161,127,175,175,130.178899
22,169,125,180,177,130.179838
23,171,129,177,180,130.18077399999999
24,176,131,182,184,130.181722
25,168,125,180,179,130.182667
26,168,133,179,179,130.183603
27,171,125,179,185,130.184544
28,169,128,179,181,130.185493
29,172,127,184,182,130.186432
30,168,131,179,180,130.18737199999998
31,162,121,175,177,130.188394
32,169,124,182,178,130.18939799999998
33,171,129,178,182,130.190412
34,174,126,183,182,130.191366
35,166,122,181,176,130.192305
36,165,121,179,178,130.193242
37,166,121,179,177,130.194242
38,176,127,181,185,130.195264
39,168,127,175,180,130.19626
40,165,129,178,182,130.197193
41,169,129,181,181,130.19814399999998
42,168,129,183,176,130.199077
43,165,120,180,175,130.20001299999998
44,165,124,180,178,130.200949
45,164,120,172,171,130.201899
46,172,119,181,183,130.202836
47,162,124,176,174,130.203788
48,168,127,176,180,130.20480799999999
49,172,126,182,179,130.205825
50,169,124,180,177,130.206845
51,171,129,180,181,130.207827
52,163,135,179,177,130.208792
53,169,134,177,178,130.209793
54,163,137,181,180,130.21078
55,171,125,179,180,130.211805
56,169,124,180,179,130.212791
57,165,135,174,178,130.21373599999998
58,174,125,183,185,130.214677
59,174,123,182,183,130.21562
60,167,129,181,180,130.216557
61,164,122,179,179,130.217503
62,170,132,177,183,130.218445
63,169,121,178,181,130.219383
64,163,130,179,175,130.22032099999998
65,169,130,177,180,130.221317
66,171,121,182,180,130.222332
67,167,132,181,179,130.22335999999999
68,165,130,172,182,130.22431699999999
69,174,128,179,181,130.225299
70,166,122,174,179,130.226327
71,170,128,177,179,130.227344
72,169,131,178,180,130.228283
73,167,133,180,181,130.22922
74,169,124,176,182,130.23017
75,169,125,180,181,130.231114
76,170,124,181,177,130.232049
77,167,128,181,179,130.232987
78,167,126,175,180,130.233935
79,173,133,181,184,130.23487699999998
80,172,139,181,184,130.235814
81,168,128,179,179,130.236753
82,166,127,180,176,130.237776
83,175,126,181,189,130.238779
84,169,134,177,177,130.23979599999998
85,166,130,177,185,130.24078
86,164,122,177,174,130.241739
87,169,124,184,177,130.242675
88,176,132,185,185,130.243654
89,167,132,179,179,130.244657
90,172,124,181,180,130.245633
91,168,132,182,181,130.246571
92,170,134,181,186,130.247505
93,174,117,181,181,130.24844199999998
94,166,127,175,178,130.249374
95,173,132,183,184,130.250323
96,173,136,181,180,130.251257
97,173,126,181,184,130.252198
98,173,130,183,181,130.253129
99,172,123,179,180,130.254077
100,159,130,176,173,130.255109
101,177,128,186,184,130.256116
102,171,132,179,181,130.2571
103,175,123,180,183,130.258092
104,160,127,177,175,130.259183
105,173,131,184,183,130.26017199999998
106,165,126,179,179,130.261203
107,173,119,181,180,130.262199
108,168,125,182,178,130.263137
109,169,120,183,176,130.264073
110,175,126,187,187,130.265006
111,169,131,181,182,130.265994
112,168,125,179,180,130.26697099999998
113,162,129,179,177,130.267901
114,170,128,181,182,130.268835
115,166,127,183,176,130.269783
116,170,126,182,179,130.27078
117,164,124,183,176,130.271784
118,164,124,182,176,130.272812
119,167,122,176,178,130.273788
120,163,127,178,176,130.274774
121,168,138,179,183,130.27580799999998
122,167,121,180,178,130.276825
123,169,128,181,180,130.277817
124,173,127,181,182,130.278805
125,171,124,181,183,130.27974
126,170,123,180,181,130.280686
127,170,132,182,183,130.281698
128,167,132,181,180,130.282688
129,177,123,183,183,130.283625
130,166,129,180,178,130.284562
131,170,127,181,181,130.285503
132,174,122,183,185,130.286477
133,172,137,180,185,130.28745
134,171,126,182,183,130.28848299999999
135,168,126,181,180,130.289498
136,163,128,174,177,130.290496
137,168,127,179,183,130.291483
138,178,134,183,190,130.29246899999998
139,171,128,177,179,130.29341399999998
140,167,130,178,178,130.294355
141,170,127,179,184,130.295378
142,172,120,181,181,130.296425
143,167,126,180,178,130.297418
144,167,134,179,179,130.29835699999998
145,166,128,174,180,130.299294
146,167,112,177,178,130.300226
147,170,127,180,178,130.301162
148,171,132,180,181,130.302157
149,166,125,180,180,130.303121
150,163,135,173,178,130.304114
151,175,120,184,186,130.305119
152,164,128,182,177,130.306147
153,173,132,178,184,130.30713699999998
154,171,126,179,184,130.308112
155,166,129,181,178,130.309049
156,171,124,181,178,130.30999
157,174,129,184,183,130.310966
158,165,130,178,178,130.31196599999998
159,168,135,181,182,130.312962
160,171,136,179,184,130.313911
161,168,130,179,183,130.314852
162,164,120,178,178,130.315791
163,168,127,180,181,130.316724
164,170,120,176,176,130.317732
165,169,132,181,180,130.318683
166,164,129,177,179,130.319618
167,171,132,180,185,130.320552
168,169,125,177,181,130.321573
169,167,141,178,182,130.32258099999999
170,164,131,178,182,130.32358299999999
171,167,131,179,177,130.324521
172,169,126,181,180,130.32549
173,173,124,183,185,130.326515
174,167,127,175,179,130.327525
175,175,120,180,185,130.3285
176,168,128,179,181,130.329445
177,170,131,179,181,130.330378
178,163,124,180,178,130.33131699999998
179,170,130,178,181,130.332282
180,164,122,177,175,130.333261
181,170,135,181,180,130.334219
182,166,128,181,179,130.335154
183,170,122,180,182,130.336094
184,169,117,179,178,130.337053
185,169,118,178,178,130.33808299999998
186,163,134,178,176,130.339092
187,172,131,179,182,130.340063
188,164,124,177,178,130.341
189,167,133,179,179,130.341946
190,168,137,177,184,130.342927
191,165,115,177,174,130.34391
192,165,123,182,177,130.344934
193,173,128,178,184,130.34650399999998
194,176,132,181,185,130.34744799999999
195,171,134,184,184,130.348446
196,177,118,182,186,130.349411
197,165,128,175,176,130.350355
198,167,122,181,176,130.351291
199,171,130,180,179,130.352232
200,168,129,176,179,130.353217
201,169,121,182,178,130.354219
202,166,123,184,179,130.355241
203,167,128,178,179,130.35625199999998
204,167,130,178,180,130.357223
205,163,125,173,180,130.358207
206,173,127,180,182,130.359194
207,173,127,186,185,130.360133
208,170,123,180,178,130.36128
209,167,123,180,181,130.36226299999998
210,169,124,178,178,130.363222
211,172,129,186,179,130.364212
212,167,131,181,180,130.365151
213,168,129,184,183,130.366092
214,175,132,183,184,130.367031
215,174,123,183,181,130.367973
216,169,124,182,176,130.368964
217,172,122,182,177,130.369934
218,172,126,179,181,130.370944
219,175,119,181,183,130.371947
220,168,125,174,178,130.372954
221,175,122,184,185,130.373976
222,173,127,185,184,130.374992
223,167,133,176,182,130.376006
224,165,126,181,177,130.376963
225,171,125,180,184,130.377917
226,169,125,178,181,130.378898
227,168,129,179,180,130.379875
228,175,127,180,183,130.380814
229,175,125,182,185,130.381758
230,166,126,180,176,130.382701
231,168,124,177,179,130.383659
232,163,128,180,177,130.384647
233,170,123,180,179,130.385591
234,171,132,183,182,130.386526
235,172,130,180,179,130.38747899999998
236,173,128,183,182,130.388494
237,167,127,182,180,130.38951
238,168,139,181,181,130.39048499999998
239,169,137,178,184,130.391418
240,168,131,176,180,130.392357
241,164,130,178,180,130.393337
242,161,121,176,177,130.394343
243,168,124,180,182,130.39533
244,172,119,176,183,130.396265
245,171,128,178,182,130.3972
246,168,127,178,176,130.398141
247,168,128,177,176,130.399109
248,169,131,182,178,130.40009799999999
249,166,131,177,181,130.401036
250,168,120,181,179,130.401985
251,177,127,183,182,130.40292399999998
252,165,127,176,177,130.40390299999999
253,173,120,183,180,130.404907
254,163,127,179,175,130.405925
255,171,128,180,182,130.406879
256,168,126,176,180,130.407812
257,168,129,176,180,130.408748
258,169,131,179,182,130.409778
259,165,131,179,181,130.410794
260,172,127,182,180,130.411737
261,167,126,175,177,130.41267
262,171,135,182,184,130.413614
263,172,131,182,185,130.41458699999998
264,167,125,177,181,130.41558
265,169,128,178,184,130.416521
266,168,120,182,179,130.417465
267,168,131,177,181,130.418404
268,167,119,176,178,130.419342
269,165,130,176,179,130.42033899999998
270,170,124,180,177,130.421361
271,163,130,178,182,130.422378
272,166,132,175,181,130.423395
273,167,121,181,176,130.42433
274,169,129,180,178,130.42532
275,167,121,177,177,130.426342
276,166,124,181,175,130.427362
277,169,131,181,180,130.428314
278,169,127,178,179,130.42925
279,169,140,178,184,130.430273
280,175,130,181,182,130.431264
281,167,122,179,174,130.432233
282,169,129,184,182,130.43317
283,168,131,183,183,130.43412
284,167,131,178,178,130.43508
285,159,126,179,176,130.436074
286,171,131,182,181,130.43703
287,167,132,180,179,130.438065
288,174,127,183,183,130.43907
289,166,135,182,179,130.440057
290,168,134,179,183,130.441036
291,166,134,180,183,130.441994
292,169,123,179,179,130.44293199999998
293,170,124,180,180,130.44386699999998
294,166,123,182,175,130.444896
295,169,126,179,178,130.44591
296,172,128,181,181,130.446867
297,169,135,180,182,130.447802
298,165,134,177,180,130.448738
299,166,128,175,178,130.44969
300,170,127,177,182,130.450667
301,164,118,176,174,130.451643
302,163,128,178,180,130.452576
303,164,125,178,175,130.453518
304,177,125,188,187,130.45451
305,171,126,183,183,130.455521
306,170,126,180,180,130.456545
307,163,133,177,176,130.457492
308,171,123,178,179,130.458427
309,163,127,180,177,130.459384
310,160,125,176,178,130.460402
311,173,124,178,183,130.461515
312,172,127,177,182,130.46248
313,164,126,178,177,130.46341999999999
314,165,118,180,177,130.464358
315,165,122,182,177,130.465291
316,169,129,177,182,130.466283
317,167,126,178,177,130.467254
318,172,122,177,181,130.468192
319,164,126,174,179,130.469122
320,169,139,180,184,130.470067
321,167,128,185,181,130.471092
322,170,130,181,179,130.472092
323,163,132,180,176,130.473099
324,172,124,179,181,130.47406999999998
325,169,126,176,183,130.475012
326,167,134,184,181,130.475994
327,165,127,182,178,130.476998
328,166,136,177,183,130.47798
329,173,124,181,183,130.478917
330,172,135,180,182,130.479861
331,173,122,181,179,130.480799
332,165,126,178,177,130.481797
333,171,121,181,181,130.48276099999998
334,169,130,178,184,130.483696
335,163,127,175,176,130.484637
336,167,122,179,179,130.485576
337,173,133,180,183,130.486549
338,165,127,183,181,130.487552
339,160,128,176,175,130.488576
340,168,113,184,176,130.489586
341,166,122,180,180,130.490593
342,168,129,179,181,130.491565
343,169,118,186,178,130.492551
344,166,125,176,174,130.493514
345,171,122,184,179,130.49453499999998
346,170,119,180,178,130.495514
347,174,133,177,185,130.496466
348,164,133,178,177,130.49745
349,166,123,178,178,130.498409
350,171,128,179,181,130.499345
351,169,129,182,183,130.500279
352,172,130,175,181,130.501214
353,175,130,179,185,130.502209
354,166,129,177,179,130.503177
355,174,123,182,184,130.504188
356,168,124,181,181,130.50519
357,169,132,182,180,130.506213
358,173,131,181,178,130.507196
359,166,123,176,174,130.508175
