No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,0.0,1.0,1.0,1.0,6.376268000000001
1,2.0,1.0,2.0,3.0,6.378027999999999
2,1.0,1.0,1.0,2.0,6.379790999999999
3,0.0,1.0,1.0,1.0,6.381544
4,1.0,1.0,3.0,2.0,6.383298000000002
5,0.0,1.0,1.0,1.0,6.3850609999999985
6,0.0,1.0,3.0,1.0,6.386813999999999
7,0.0,1.0,0.0,1.0,6.388572999999999
8,2.0,1.0,5.0,3.0,6.390328000000002
9,1.0,1.0,2.0,2.0,6.392087999999999
10,2.0,1.0,6.0,3.0,6.393841
11,0.0,1.0,3.0,1.0,6.3956040000000005
12,1.0,1.0,2.0,2.0,6.397359
13,4.0,1.0,4.0,5.0,6.399178000000001
14,2.0,1.0,2.0,3.0,6.400934999999999
15,0.0,1.0,1.0,1.0,6.402699
16,1.0,1.0,3.0,2.0,6.404451
17,3.0,1.0,7.0,4.0,6.406201999999999
18,0.0,1.0,4.0,1.0,6.407959
19,0.0,1.0,0.0,1.0,6.409704
20,0.0,1.0,2.0,1.0,6.411455000000002
21,1.0,1.0,3.0,2.0,6.413214999999999
22,2.0,1.0,3.0,3.0,6.414976000000001
23,2.0,1.0,4.0,3.0,6.416735000000001
24,0.0,1.0,2.0,1.0,6.418483
25,1.0,1.0,3.0,2.0,6.420244000000002
26,0.0,1.0,4.0,1.0,6.421991
27,0.0,1.0,3.0,1.0,6.4237410000000015
28,2.0,1.0,3.0,3.0,6.4255119999999994
29,1.0,1.0,2.0,2.0,6.4272870000000015
30,0.0,1.0,0.0,1.0,6.4290530000000015
31,2.0,1.0,4.0,3.0,6.430805000000001
32,0.0,1.0,0.0,1.0,6.432557000000001
33,3.0,1.0,4.0,4.0,6.434308
34,2.0,1.0,3.0,3.0,6.436161
35,0.0,1.0,0.0,1.0,6.437914000000001
36,1.0,1.0,3.0,2.0,6.439674999999999
37,1.0,1.0,4.0,2.0,6.441438
38,1.0,1.0,2.0,2.0,6.443191000000001
39,0.0,1.0,2.0,1.0,6.444954000000001
40,1.0,1.0,2.0,2.0,6.446716
41,1.0,1.0,2.0,2.0,6.448483999999999
42,2.0,1.0,3.0,3.0,6.450232999999999
43,1.0,1.0,2.0,2.0,6.451986
44,1.0,1.0,1.0,2.0,6.453745
45,2.0,1.0,2.0,3.0,6.455506999999999
46,3.0,1.0,3.0,4.0,6.457307999999999
47,0.0,1.0,1.0,1.0,6.459068
48,3.0,1.0,5.0,4.0,6.460869000000001
49,0.0,1.0,1.0,1.0,6.462625000000001
50,1.0,1.0,3.0,2.0,6.464385000000002
51,0.0,1.0,1.0,1.0,6.466142
52,3.0,1.0,4.0,4.0,6.467903999999999
53,2.0,1.0,2.0,3.0,6.469658000000001
54,1.0,1.0,1.0,2.0,6.471452999999999
55,2.0,1.0,2.0,3.0,6.473286
56,0.0,1.0,1.0,1.0,6.475036000000001
57,3.0,1.0,3.0,4.0,6.476989000000001
58,0.0,1.0,0.0,1.0,6.478745999999999
59,0.0,1.0,0.0,1.0,6.480509
60,2.0,1.0,2.0,3.0,6.482336999999999
61,0.0,1.0,0.0,1.0,6.484116000000002
62,2.0,1.0,3.0,3.0,6.485877
63,0.0,1.0,0.0,1.0,6.487629
64,1.0,1.0,2.0,2.0,6.489374
65,2.0,1.0,3.0,3.0,6.4911259999999995
66,2.0,1.0,2.0,3.0,6.492936000000002
67,1.0,1.0,1.0,2.0,6.494718000000001
68,0.0,1.0,0.0,1.0,6.4964759999999995
69,0.0,1.0,2.0,1.0,6.498268000000001
70,2.0,1.0,3.0,3.0,6.500041000000001
71,0.0,1.0,1.0,1.0,6.5017890000000005
72,1.0,1.0,3.0,2.0,6.503565
73,0.0,1.0,1.0,1.0,6.505324
74,3.0,1.0,6.0,4.0,6.507122000000001
75,0.0,1.0,0.0,1.0,6.508934000000002
76,0.0,1.0,2.0,1.0,6.510686999999999
77,0.0,1.0,0.0,1.0,6.512451
78,2.0,1.0,2.0,3.0,6.514207000000001
79,1.0,1.0,2.0,2.0,6.5159600000000015
80,1.0,1.0,2.0,2.0,6.517764999999999
81,2.0,1.0,3.0,3.0,6.519568000000001
82,3.0,1.0,6.0,4.0,6.521326
83,1.0,1.0,5.0,2.0,6.523075
84,1.0,1.0,3.0,2.0,6.524838000000001
85,4.0,1.0,5.0,5.0,6.526591000000002
86,1.0,1.0,1.0,2.0,6.528338
87,0.0,1.0,2.0,1.0,6.530095000000001
88,0.0,1.0,2.0,1.0,6.531844000000001
89,0.0,1.0,2.0,1.0,6.533602
90,0.0,1.0,1.0,1.0,6.535355000000001
91,1.0,1.0,4.0,2.0,6.537118000000001
92,2.0,1.0,5.0,3.0,6.538872
93,0.0,1.0,3.0,1.0,6.540630999999999
94,1.0,1.0,2.0,2.0,6.542374000000001
95,1.0,1.0,3.0,2.0,6.544136
96,2.0,1.0,3.0,3.0,6.545893000000001
97,0.0,1.0,3.0,1.0,6.547666999999999
98,2.0,1.0,2.0,3.0,6.549505000000002
99,0.0,1.0,4.0,1.0,6.551247999999999
100,1.0,1.0,2.0,2.0,6.553006000000002
101,0.0,1.0,1.0,1.0,6.554751000000001
102,1.0,1.0,2.0,2.0,6.556514999999999
103,0.0,1.0,4.0,1.0,6.558261
104,4.0,1.0,5.0,5.0,6.560022999999999
105,0.0,1.0,2.0,1.0,6.561776
106,0.0,1.0,1.0,1.0,6.563537000000002
107,1.0,1.0,2.0,2.0,6.565288000000001
108,3.0,1.0,4.0,4.0,6.5670470000000005
109,1.0,1.0,3.0,2.0,6.568803000000001
110,1.0,1.0,2.0,2.0,6.570554
111,1.0,1.0,3.0,2.0,6.572342000000001
112,0.0,1.0,1.0,1.0,6.574212000000001
113,1.0,1.0,3.0,2.0,6.576003999999999
114,1.0,1.0,2.0,2.0,6.577895
115,2.0,1.0,3.0,3.0,6.579655000000001
116,0.0,1.0,2.0,1.0,6.5814
117,2.0,1.0,2.0,3.0,6.583153999999999
118,1.0,1.0,2.0,2.0,6.584921
119,2.0,1.0,2.0,3.0,6.586685000000001
120,2.0,1.0,2.0,3.0,6.588464
121,2.0,1.0,5.0,3.0,6.590335999999999
122,1.0,1.0,1.0,2.0,6.592141
123,1.0,1.0,3.0,2.0,6.593897
124,2.0,1.0,2.0,3.0,6.5956540000000015
125,1.0,1.0,2.0,2.0,6.597406000000001
126,0.0,1.0,0.0,1.0,6.599204000000002
127,0.0,1.0,1.0,1.0,6.600963999999999
128,0.0,1.0,1.0,1.0,6.60272
129,1.0,1.0,2.0,2.0,6.604488999999999
130,1.0,1.0,1.0,2.0,6.606239
131,1.0,1.0,3.0,2.0,6.607995000000001
132,4.0,1.0,4.0,5.0,6.6097529999999995
133,1.0,1.0,3.0,2.0,6.611509
134,0.0,1.0,1.0,1.0,6.613259000000001
135,1.0,1.0,1.0,2.0,6.615012000000002
136,3.0,1.0,5.0,4.0,6.616774000000001
137,0.0,1.0,0.0,1.0,6.618533000000001
138,1.0,1.0,3.0,2.0,6.620344999999999
139,1.0,1.0,1.0,2.0,6.6221450000000015
140,0.0,1.0,0.0,1.0,6.62391
141,0.0,1.0,2.0,1.0,6.625738
142,0.0,1.0,2.0,1.0,6.627553000000001
143,0.0,1.0,0.0,1.0,6.629382000000001
144,0.0,1.0,2.0,1.0,6.631158000000001
145,3.0,1.0,4.0,4.0,6.632925999999999
146,2.0,1.0,3.0,3.0,6.634689
147,1.0,1.0,4.0,2.0,6.636453999999999
148,2.0,1.0,2.0,3.0,6.638209999999999
149,0.0,1.0,0.0,1.0,6.639972000000002
150,0.0,1.0,1.0,1.0,6.641715
151,0.0,1.0,2.0,1.0,6.643469999999999
152,1.0,1.0,3.0,2.0,6.645215000000002
153,0.0,1.0,0.0,1.0,6.646960000000002
154,1.0,1.0,1.0,2.0,6.648722999999999
155,2.0,1.0,5.0,3.0,6.650475000000002
156,0.0,1.0,0.0,1.0,6.652247000000001
157,2.0,1.0,3.0,3.0,6.654003000000001
158,2.0,1.0,3.0,3.0,6.655765000000001
159,1.0,1.0,3.0,2.0,6.657515000000002
160,1.0,1.0,2.0,2.0,6.659260999999999
161,2.0,1.0,3.0,3.0,6.661038
162,1.0,1.0,4.0,2.0,6.662868999999999
163,3.0,1.0,4.0,4.0,6.664633
164,1.0,1.0,2.0,2.0,6.666403000000001
165,1.0,1.0,2.0,2.0,6.668161
166,1.0,1.0,4.0,2.0,6.669917
167,2.0,1.0,4.0,3.0,6.671681999999999
168,1.0,1.0,2.0,2.0,6.673563
169,1.0,1.0,1.0,2.0,6.675341000000001
170,1.0,1.0,2.0,2.0,6.677180999999999
171,3.0,1.0,6.0,4.0,6.679072
172,2.0,1.0,3.0,3.0,6.680840999999999
173,1.0,1.0,3.0,2.0,6.682592000000001
174,1.0,1.0,2.0,2.0,6.684375000000001
175,2.0,1.0,2.0,3.0,6.686127000000001
176,0.0,1.0,2.0,1.0,6.6878720000000005
177,0.0,1.0,3.0,1.0,6.689631
178,2.0,1.0,5.0,3.0,6.691388999999999
179,3.0,1.0,5.0,4.0,6.693157999999999
180,2.0,1.0,3.0,3.0,6.694903999999999
181,1.0,1.0,1.0,2.0,6.696664
182,0.0,1.0,1.0,1.0,6.698441000000001
183,2.0,1.0,2.0,3.0,6.700218999999999
184,1.0,1.0,2.0,2.0,6.701970999999999
185,1.0,1.0,4.0,2.0,6.703728
186,1.0,1.0,3.0,2.0,6.705477
187,1.0,1.0,2.0,2.0,6.707223000000001
188,0.0,1.0,2.0,1.0,6.708988
